Name,Country,Status,Organisation,Date,Killed,Occupation,Latitude,Longitude
Mahmoud Juhjouh,Palestine,Confirmed,Palestine Post,"May 16, 2024",Killed,Journalist,31.046051,34.851612
Maisara Ahmed Salah,Palestine,Confirmed,Freelance,"November 30, 2024",Killed,Journalist,31.046051,34.851612
Makawi Mohamed Ahmed,Sudan,Unconfirmed,SUNA,"June 5, 2024",Killed,Journalist,12.862807,30.217636
Mamdouh Qanita,Palestine,Confirmed,Al-Aqsa TV,"November 30, 2024",Killed,Journalist,31.046051,34.851612
Marckendy Natoux,Haiti,Confirmed,Freelance,"December 24, 2024",Killed,Journalist,18.971187,-72.285215
Mardonio Mejía,Colombia,Unconfirmed,Sonora Estéreo,"January 24, 2024",Killed,Journalist,4.570868,-74.297333
Mauricio Cruz Solís,Mexico,Confirmed,"Radiorama Michoacán, Minuto x Minuto","October 29, 2024",Killed,Journalist,23.634501,-102.552784
Mohamed Adel Abu Skheil,Palestine,Confirmed,"Al-Aqsa Voice Radio, Shams News Agency","March 28, 2024",Killed,Media Worker,31.046051,34.851612
Mohamed El Sayed Abu Skheil,Palestine,Confirmed,Al-Quds Radio,"March 18, 2024",Killed,Journalist,31.046051,34.851612
Mohamed El-Reefi,Palestine,Confirmed,Freelance,"March 15, 2024",Killed,Journalist,31.046051,34.851612
Mohamed Jamal Sobhi Al-Thalathini,Palestine,Confirmed,Al-Quds Al-Youm,"January 11, 2024",Killed,Journalist,31.046051,34.851612
Mohamed Manhal Abu Armana,Palestine,Confirmed,Palestine Now,"July 13, 2024",Killed,Journalist,31.046051,34.851612
Mohamed Meshmesh,Palestine,Confirmed,Al-Aqsa Voice Radio,"July 15, 2024",Killed,Journalist,31.046051,34.851612
Mohamed Yaghi,Palestine,Confirmed,Freelance,"February 23, 2024",Killed,Journalist,31.046051,34.851612
Mohammed Abed Rabbo,Palestine,Confirmed,Al-Manara Agency,"August 27, 2024",Killed,Journalist,31.046051,34.851612
Mohammed Abu Daqqa,Palestine,Confirmed,"Freelance, Al-Hadath","July 29, 2024",Killed,Journalist,31.046051,34.851612
Mohammed Abu Jasser,Palestine,Confirmed,"Al-Risala, Felesteen","July 20, 2024",Killed,Journalist,31.046051,34.851612
Mohammed Abu Sharia,Palestine,Confirmed,Shams News Agency,"July 1, 2024",Killed,Journalist,31.046051,34.851612
Mohammed Al Qrinawi,Palestine,Confirmed,Snd News Agency,"December 14, 2024",Killed,Journalist,31.046051,34.851612
Mohammed Al-Ladaa,Palestine,Confirmed,Al Quds Al-Youm,"December 26, 2024",Killed,Journalist,31.046051,34.851612
Mohammed Al-Sakani,Palestine,Confirmed,Al-Quds Al-Youm,"July 4, 2024",Killed,Media Worker,31.046051,34.851612
Mohammed Al-Sharafi,Palestine,Confirmed,Freelance,"December 18, 2024",Killed,Journalist,31.046051,34.851612
